Power (mW)
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.44
6.44
6.44
6.44
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
6.16
